gt_x,gt_y,vo_x,vo_y,srs_x,srs_y,base_station,esk_x,esk_y
-0.8096660962134433,1.1425953435689091,-0.8251553964437837,1.435474483658794,-0.8809547087650342,1.1936514857126121,5,-0.8096660962134433,1.1425953435689091
-0.8296190710693031,1.4308722891252168,-0.8369678774487525,1.7295846034742377,-0.8175305570772493,1.5213760077992582,5,-0.8112397365117295,1.1460126397461217
-0.8455608886285199,1.7236892889438327,-0.8480008524365629,2.0262270236146898,-0.8463941915664989,1.696274548710433,5,-0.8136696662181503,1.1547726944130559
-0.8594612268640346,2.0223043368301967,-0.8549537437137527,2.331496524865175,-0.9503785853596683,2.005038101920543,5,-0.8152818718797695,1.1703800267617865
-0.868903847296802,2.3283653084397775,-0.8583123853647908,2.6416205736177614,-0.9208973649876893,2.3913985493788563,5,-0.815534105221567,1.2006783650625574
-0.8727091378321228,2.644059018906466,-0.8550863402506232,2.9678746270308896,-0.9535066743639434,2.6693138189993233,5,-0.8128360200898692,1.2470224335984068
-0.870330829448164,2.9675681163434637,-0.8374097455327102,3.3030637825079783,-1.002017227671585,2.903029522059681,5,-0.8071037340964755,1.3181178693036624
-0.8567384052778321,3.3052647228118213,-0.8032488575766138,3.6467930697241284,-0.8366681056828961,3.3249989209249455,5,-0.7933983214913864,1.4333084393722788
-0.8320502037663208,3.6600630614173597,-0.7612231515107939,3.997261792388991,-0.7559392523341733,3.696378435589157,5,-0.7691846118127702,1.5904301212289313
-0.7987390162372416,4.018745827370481,-0.7172800573857387,4.367408424237246,-0.894095919056402,4.064152546400331,5,-0.7364618906897721,1.8081427607226863
-0.7626074647119976,4.390288208568162,-0.6665732614444903,4.749133506562964,-0.9145145751696571,4.312216458033269,5,-0.6922754390502976,2.112245660272216
-0.7202539134912849,4.773697972857209,-0.6018880567844364,5.134297629527211,-0.7713148099215899,4.659958001400838,5,-0.6425245607257842,2.477984551386756
-0.6664754385408336,5.164694745465652,-0.5299915247011764,5.5342199793716995,-0.7294325573438256,5.237917184443214,5,-0.5861399059750353,2.9280300745880568
-0.5945053938781992,5.560908071180389,-0.44797695175456553,5.945911226827641,-0.4637478732770879,5.344046473713152,5,-0.502343126864177,3.4655167287007997
-0.5141622093384934,5.9705715591464825,-0.3587122872273388,6.369214216965249,-0.6078554800293138,5.963936821291298,5,-0.4243690401629251,4.0465541695978775
-0.4279284186232764,6.390654660805214,-0.2677977917381481,6.8056139209802105,-0.4624052218753147,6.569209073418682,5,-0.3241361738721005,4.722683556029104
-0.34029095819622374,6.824687220697879,-0.1724726977656037,7.252535810316234,-0.3127365106272467,6.92107527739224,5,-0.22192880412658042,5.389475374627336
-0.2514377231300856,7.26905973295879,-0.06857815878285456,7.711582465968343,-0.23278848583533404,7.259067717033724,5,-0.11585588549201654,6.068077470817913
-0.15442952911346897,7.727774644540854,0.043080563309669806,8.185760014202824,-0.21038784741077485,7.785527250218142,5,9.282343369072799e-05,6.808483192703138
-0.047457177140554196,8.197931976473606,0.1607027378357203,8.673091829343592,-0.17814551553722272,8.124270050917808,7,0.10704662573393114,7.494615439273089
0.06278089573836843,8.688352110268498,0.28162546193428606,9.165890286865263,0.0464021553518388,8.823443939162507,7,0.2411686876116265,8.246788877055163
0.17239220222361762,9.18116273327265,0.4020570951278504,9.677795377855713,0.1642127976516725,9.277068685032365,7,0.3647989294262537,8.936271731516166
0.28586452222435876,9.694156265982576,0.5418086839129352,10.194113570814235,0.3254291071703644,9.890400917356217,7,0.4952325474733699,9.62897317084798
0.4136745487689153,10.214702527013614,0.6926952352810956,10.705708874583017,0.47333153758776725,10.427046696904979,5,0.6449997172214746,10.37103240017934
0.5561854169271805,10.745851002874534,0.8557495802753028,11.248594790045571,0.7452066602251055,10.526587766312847,5,0.802028987380425,11.010262321749432
0.702434052958254,11.286832829145059,1.0148309636141124,11.799384545462631,0.6137129839267975,11.258065247523435,5,0.9636521847110114,11.720282819090006
0.8445725620521874,11.837296115120461,1.1816047681130402,12.3691353156467,0.8850806072786508,11.883448468097402,5,1.12495819552124,12.368925766123422
0.9924736520226147,12.39874219465677,1.3644525267136873,12.943524907520956,0.9967252760786528,12.500039492014107,5,1.2862051002664976,13.021845291822945
1.1521687255919768,12.96608730586849,1.5533542753259022,13.5240631970854,1.247607028923721,12.98562791580897,7,1.47787193389082,13.728444479067333
1.3253741803156018,13.547436471748842,1.7471914492330778,14.123010719522942,1.2589895637979043,13.562190087104614,7,1.6484081091674616,14.366298239919532
1.5024200549873776,14.137179946569233,1.9494176648268469,14.730719383236103,1.5539577441891512,14.007306019784332,7,1.8543419994802848,15.05898821335094
1.689018808657968,14.738927350966438,2.1555515226630435,15.336487472076303,1.5588775668029844,14.687622594175995,7,2.0316820732084153,15.690060311099058
1.882057071713862,15.351735194969818,2.3735115115718197,15.960505651943441,1.7359612147309087,15.389632677523394,7,2.2162058024615376,16.33487296065015
2.083594694829764,15.975892783003005,2.5961422262337104,16.59186669260627,2.0929338343954673,16.065676050634465,7,2.440363327482905,17.055299305668587
2.292106746342214,16.61100565570526,2.8190766020297016,17.2248142017645,2.280148663096533,16.61429882820232,7,2.6471051849347225,17.699603653572073
2.5079068294718567,17.258185461651546,3.0464010850770338,17.86689413000838,2.4801651327251513,17.33247976593201,4,2.8766832972323617,18.4244495509215
2.745473866923784,17.928276826558072,3.2965007947476175,18.543833701527234,2.7526473846129047,17.90223634477777,4,3.094683504891079,19.075250053777115
2.9806960654279315,18.57479458418058,3.556623832716995,19.222593312502134,2.9752623262799855,18.637774681510518,4,3.3198357389306072,19.743468819674717
3.2314159521487094,19.24708604940317,3.823142400215376,19.901806013319934,3.258677444433258,19.240188072950158,4,3.576513488086345,20.485626664675497
