gt_x,gt_y,vo_x,vo_y,prs_x,prs_y,base_station,esk_x,esk_y
-0.8096660962134433,1.1425953435689091,-0.8251553964437837,1.435474483658794,-0.7832223845563517,1.1337422867236788,5,-0.8096660962134433,1.1425953435689091
-0.8296190710693031,1.4308722891252168,-0.8369678774487525,1.7295846034742377,-0.8956040741579063,1.582397460746891,5,-0.8112397365117295,1.1460126397461217
-0.8455608886285199,1.7236892889438327,-0.8480008524365629,2.0262270236146898,-0.8593459658210794,1.6989396505374086,5,-0.813671233003673,1.1547730168123562
-0.8594612268640346,2.0223043368301967,-0.8549537437137527,2.331496524865175,-0.8972776376221984,2.048946693501535,5,-0.8152540332244687,1.1704062783804468
-0.868903847296802,2.3283653084397775,-0.8583123853647908,2.6416205736177614,-0.8677045754730595,2.365537753487802,5,-0.8153968760658037,1.2006769220569973
-0.8727091378321228,2.644059018906466,-0.8550863402506232,2.9678746270308896,-0.9410432008546818,2.6869738805543473,5,-0.8126029866492102,1.247080486379435
-0.870330829448164,2.9675681163434637,-0.8374097455327102,3.3030637825079783,-0.9002458260420656,2.8884146658753744,5,-0.8061739147682965,1.3181012313970957
-0.8567384052778321,3.3052647228118213,-0.8032488575766138,3.6467930697241284,-1.125500745654975,3.420218013737522,5,-0.7952361049470618,1.4342733799183118
-0.8320502037663208,3.6600630614173597,-0.7612231515107939,3.997261792388991,-0.7454872084242896,3.8396736368163142,5,-0.7712277770266247,1.5937525502735788
-0.7987390162372416,4.018745827370481,-0.7172800573857387,4.367408424237246,-0.7512936834193149,4.054042373188555,5,-0.7357917720013799,1.8117123960152461
-0.7626074647119976,4.390288208568162,-0.6665732614444903,4.749133506562964,-0.8062373871843859,4.6312433572676985,5,-0.6884269426970338,2.125233986088036
-0.7202539134912849,4.773697972857209,-0.6018880567844364,5.134297629527211,-0.7368782072474633,4.9248138777827,5,-0.6371696051700679,2.5011781843467875
-0.6664754385408336,5.164694745465652,-0.5299915247011764,5.5342199793716995,-0.7088489213848689,5.332637400965292,5,-0.5796978496044539,2.956076714717289
-0.5945053938781992,5.560908071180389,-0.44797695175456553,5.945911226827641,-0.5081565037788327,5.541230442074917,5,-0.4979981207270636,3.5038879124363422
-0.5141622093384934,5.9705715591464825,-0.3587122872273388,6.369214216965249,-0.5363385970442389,6.313393180694928,5,-0.4161278887403999,4.103836252443714
-0.4279284186232764,6.390654660805214,-0.2677977917381481,6.8056139209802105,-0.5733151308447219,6.57848471310855,5,-0.3230468003105095,4.778950798352782
-0.34029095819622374,6.824687220697879,-0.1724726977656037,7.252535810316234,-0.49784036488678235,6.838513789670356,5,-0.23330482846448142,5.437109032816667
-0.2514377231300856,7.26905973295879,-0.06857815878285456,7.711582465968343,-0.39984146578293306,7.1083436500791946,5,-0.1383862797581944,6.101691282212888
-0.15442952911346897,7.727774644540854,0.043080563309669806,8.185760014202824,-0.0845381871450067,7.852511205236362,5,-0.012023141763677081,6.84387126838851
-0.047457177140554196,8.197931976473606,0.1607027378357203,8.673091829343592,-0.09097877516961889,8.226373630379523,7,0.10237837548734599,7.533944746795881
0.06278089573836843,8.688352110268498,0.28162546193428606,9.165890286865263,0.151975529745114,8.854576482597684,7,0.2450943826592417,8.284378922219165
0.17239220222361762,9.18116273327265,0.4020570951278504,9.677795377855713,0.20877878620154872,9.335416591831558,7,0.371997489036201,8.974004220478442
0.28586452222435876,9.694156265982576,0.5418086839129352,10.194113570814235,0.2632247168457706,9.690191824322476,7,0.4971071163583815,9.64661326941384
0.4136745487689153,10.214702527013614,0.6926952352810956,10.705708874583017,0.39426084567980707,10.216055895655385,5,0.640553859432873,10.369001270238572
0.5561854169271805,10.745851002874534,0.8557495802753028,11.248594790045571,0.42276242224651106,10.950170205196006,5,0.7726624041916856,11.040251004029004
0.702434052958254,11.286832829145059,1.0148309636141124,11.799384545462631,0.5077791704810799,11.266687572427545,5,0.9283393484185397,11.747056286826995
0.8445725620521874,11.837296115120461,1.1816047681130402,12.3691353156467,0.8994244162985023,11.837479367285951,5,1.0941214599771123,12.388332368291035
0.9924736520226147,12.39874219465677,1.3644525267136873,12.943524907520956,1.017953982004856,12.41287598063617,5,1.2601414228705794,13.03129456006694
1.1521687255919768,12.96608730586849,1.5533542753259022,13.5240631970854,1.088821475184761,13.067911000734314,7,1.4419661339210108,13.742094132629123
1.3253741803156018,13.547436471748842,1.7471914492330778,14.123010719522942,1.2787063785210262,13.750274575838404,7,1.61788464673187,14.392228206143796
1.5024200549873776,14.137179946569233,1.9494176648268469,14.730719383236103,1.478224106687986,14.181581236064972,7,1.8212175302506592,15.095198341247663
1.689018808657968,14.738927350966438,2.1555515226630435,15.336487472076303,1.6021342452443774,14.75963194636746,7,2.005846318683987,15.727404198564106
1.882057071713862,15.351735194969818,2.3735115115718197,15.960505651943441,1.794210611224454,15.445025832597338,7,2.198270910087034,16.371848860468848
2.083594694829764,15.975892783003005,2.5961422262337104,16.59186669260627,1.9174368250641656,16.085026761635635,7,2.4111886045974704,17.089065037330137
2.292106746342214,16.61100565570526,2.8190766020297016,17.2248142017645,2.223996333321009,16.575151425452184,7,2.617198824258981,17.725644021269886
2.5079068294718567,17.258185461651546,3.0464010850770338,17.86689413000838,2.368198505503737,17.205980219905236,4,2.8416446649982645,18.436347369547267
2.745473866923784,17.928276826558072,3.2965007947476175,18.543833701527234,2.674280751401746,17.888334628506584,4,3.057826686922567,19.083259010988446
2.9806960654279315,18.57479458418058,3.556623832716995,19.222593312502134,2.8978148689524703,18.74224437225993,4,3.2814919339454516,19.75737723109488
3.2314159521487094,19.24708604940317,3.823142400215376,19.901806013319934,3.2078950821719303,19.342346037768962,4,3.5389262302409152,20.5048321468308
3.4900052107524813,19.934091166413076,4.094181565118896,20.605531055014588,3.4635566801574886,20.261462477581606,4,3.780969007572904,21.203266070066324
3.7538418289338673,20.630481373201235,4.373822919302632,21.30472683333862,3.6908735933968524,20.803131661529804,4,4.049509865544348,21.971724928240448
4.021376447356129,21.340564841130455,4.660394420973894,22.020655695592385,3.9977803572322865,21.387369082687627,4,4.3036619168838905,22.659228493001887
4.296555100017111,22.05720609629771,4.956418910822333,22.74418062734799,4.13050243283621,22.248375814956944,5,4.552956536776418,23.371249619608207
4.583140566335114,22.787990327825085,5.265680562298277,23.47579305134435,4.574676515466228,22.814389176762436,5,4.846770652033698,24.154682617878706
4.8770331467891515,23.52237031266521,5.5872749950645035,24.219962495917343,4.989892773103725,23.41522325187126,5,5.2022514817646055,25.07158254301248
5.200865627266588,24.27379354422333,5.914474007001368,24.961019046180837,5.253845860989713,24.53611067384861,5,5.442309169997745,25.624652275240372
5.523777813734362,25.010919861713468,6.258416601806615,25.710912482031546,5.547482279422844,25.094211302683984,5,5.745860866198179,26.35074592124333
5.865655201618537,25.761878617591556,6.609272111543771,26.461169775561775,5.895178516824019,25.680557095937832,5,6.064230230834423,27.073365787101725
6.2098552828915485,26.516544637912304,6.971565129433991,27.219705267126777,5.904046330558095,26.483928799231577,6,6.39416983057167,27.884637600904362
6.566106902987338,27.278252086844354,7.339107090142827,27.98180364669232,6.595466094858776,27.374494500403245,6,6.735735407051011,28.625937404003317
6.930063027950174,28.04484385011007,7.72749126308434,28.758196985520726,6.896998000669256,28.077891558521134,6,7.111223538799141,29.44828920669945
7.309737592522469,28.818536247649327,8.125051619365133,29.536579614193798,7.317268688903464,28.76276298370795,6,7.474394248328832,30.18396712025618
7.693666538233327,29.598202570930685,8.53141712739849,30.322152633940817,7.664850836904519,29.591803375924083,6,7.8477741767816385,30.936035044662802
8.092382780892493,30.38967912435662,8.96764352107065,31.123265534468832,8.033072221234931,30.513598633060063,5,8.261856484816416,31.788931169192793
8.503661697859382,31.187005450692883,9.438844149763613,31.95971875607291,8.293561599884162,31.289469956623947,5,8.647708260757526,32.56196773387593
8.923927675863634,31.990493061334664,9.92378388311918,32.801927060191,8.828856496651817,32.23065177594316,5,9.09134824365084,33.43909963707654
9.354351938502136,32.80012165697689,10.378127338214222,33.62292757600093,9.363268869172966,32.81818793308974,5,9.521312717607332,34.214909358831335
9.795533782708977,33.61596674770559,10.90705677323023,34.47859954378252,9.795457349893965,33.79631780981835,5,9.967857622994725,35.01845110259021
10.250395048687938,34.43957235044643,11.423561194309013,35.33364785036477,10.152789477394377,34.47444090149652,4,10.456028874365618,35.9032939066473
10.71355658202229,35.2732617414183,11.977376948270397,36.21365077603533,10.817304572177498,35.405018495498595,4,10.939759314675156,36.715449843489054
11.188606481036299,36.11676056146674,12.547240612068222,37.135200431091675,11.14442210310756,36.18172463974764,4,11.42605674949669,37.540021363238374
11.670109935989785,36.96276458114093,13.053671370926645,37.993606314510124,11.541909901498089,37.029984997700915,4,11.951081907142424,38.457590364841906
12.164711319961054,37.83889890280505,13.569647256814914,38.862503044500365,12.110751196184195,37.911229317761716,4,12.451942692247759,39.290836213070094
