x,y,site_count,lon,lat
-450.0,-400.0,3,8.4737,48.967
-450.0,-394.9685534591195,4,8.4737,48.967037735849054
-450.0,-389.937106918239,7,8.4737,48.96707547169811
-450.0,-384.9056603773585,5,8.4737,48.96711320754717
-450.0,-379.87421383647796,3,8.4737,48.96715094339623
-450.0,-374.84276729559747,2,8.4737,48.96718867924528
-450.0,-369.811320754717,6,8.4737,48.96722641509434
-450.0,-364.7798742138365,3,8.4737,48.96726415094339
-450.0,-359.748427672956,3,8.4737,48.96730188679245
-450.0,-354.7169811320755,4,8.4737,48.96733962264151
-450.0,-349.685534591195,2,8.4737,48.967377358490566
-450.0,-344.6540880503145,3,8.4737,48.96741509433962
-450.0,-339.62264150943395,3,8.4737,48.96745283018868
-450.0,-334.59119496855345,5,8.4737,48.96749056603773
-450.0,-329.55974842767296,4,8.4737,48.967528301886794
-450.0,-324.52830188679246,2,8.4737,48.96756603773585
-450.0,-319.49685534591197,4,8.4737,48.967603773584905
-450.0,-314.4654088050314,3,8.4737,48.96764150943396
-450.0,-309.433962264151,3,8.4737,48.967679245283016
-450.0,-304.4025157232704,3,8.4737,48.96771698113207
-450.0,-299.37106918238993,4,8.4737,48.96775471698113
-450.0,-294.33962264150944,3,8.4737,48.96779245283019
-450.0,-289.30817610062894,5,8.4737,48.967830188679244
-450.0,-284.27672955974845,4,8.4737,48.9678679245283
-450.0,-279.2452830188679,4,8.4737,48.967905660377355
-450.0,-274.21383647798746,3,8.4737,48.96794339622642
-450.0,-269.1823899371069,4,8.4737,48.96798113207547
-450.0,-264.1509433962264,5,8.4737,48.96801886792453
-450.0,-259.1194968553459,5,8.4737,48.96805660377358
-450.0,-254.08805031446542,5,8.4737,48.96809433962264
-450.0,-249.05660377358492,6,8.4737,48.968132075471694
-450.0,-244.0251572327044,4,8.4737,48.968169811320756
-450.0,-238.9937106918239,5,8.4737,48.96820754716981
-450.0,-233.9622641509434,6,8.4737,48.96824528301887
-450.0,-228.9308176100629,4,8.4737,48.96828301886792
-450.0,-223.8993710691824,6,8.4737,48.96832075471698
-450.0,-218.8679245283019,4,8.4737,48.96835849056604
-450.0,-213.8364779874214,5,8.4737,48.968396226415095
-450.0,-208.80503144654088,5,8.4737,48.96843396226415
-450.0,-203.77358490566039,5,8.4737,48.968471698113206
-450.0,-198.7421383647799,4,8.4737,48.96850943396226
-450.0,-193.71069182389937,5,8.4737,48.968547169811316
-450.0,-188.67924528301887,6,8.4737,48.96858490566038
-450.0,-183.64779874213838,5,8.4737,48.968622641509434
-450.0,-178.61635220125788,4,8.4737,48.96866037735849
-450.0,-173.58490566037736,3,8.4737,48.968698113207545
-450.0,-168.55345911949686,7,8.4737,48.9687358490566
-450.0,-163.52201257861637,4,8.4737,48.96877358490566
-450.0,-158.49056603773585,5,8.4737,48.96881132075472
-450.0,-153.45911949685535,5,8.4737,48.96884905660377
-450.0,-148.42767295597486,4,8.4737,48.96888679245283
-450.0,-143.39622641509436,5,8.4737,48.96892452830188
-450.0,-138.36477987421387,5,8.4737,48.96896226415094
-450.0,-133.33333333333337,7,8.4737,48.969
-450.0,-128.30188679245282,6,8.4737,48.96903773584906
-450.0,-123.27044025157232,5,8.4737,48.96907547169811
-450.0,-118.23899371069183,7,8.4737,48.96911320754717
-450.0,-113.20754716981133,7,8.4737,48.96915094339622
-450.0,-108.17610062893084,5,8.4737,48.969188679245285
-450.0,-103.14465408805034,6,8.4737,48.96922641509434
-450.0,-98.11320754716985,4,8.4737,48.969264150943395
-450.0,-93.0817610062893,5,8.4737,48.96930188679245
-450.0,-88.0503144654088,5,8.4737,48.969339622641506
-450.0,-83.01886792452831,5,8.4737,48.96937735849056
