x,y,z,base_stations
-0.8809547087650342,1.1936514857126121,0.9001377245407964,7
-0.8175305570772493,1.5213760077992582,0.7386691311595002,7
-0.8463941915664989,1.696274548710433,1.318827388526918,7
-0.9503785853596683,2.005038101920543,1.009853913938535,7
-0.9208973649876893,2.3913985493788563,0.9090589131392859,7
-0.9535066743639434,2.6693138189993233,1.1129868581983948,7
-1.002017227671585,2.903029522059681,1.3135047051612792,7
-0.8366681056828961,3.3249989209249455,0.1541482707765219,5
-0.7559392523341733,3.696378435589157,1.0194451737066204,5
-0.894095919056402,4.064152546400331,1.3167148748199253,5
-0.9145145751696571,4.312216458033269,2.258540932032775,5
-0.7713148099215899,4.659958001400838,0.4824417690605632,5
-0.7294325573438256,5.237917184443214,1.5752015907619996,5
-0.4637478732770879,5.344046473713152,1.9743892736055837,5
-0.6078554800293138,5.963936821291298,1.7218392551217452,5
-0.4624052218753147,6.569209073418682,1.669062140271798,5
-0.3127365106272467,6.92107527739224,0.5315450887875681,5
-0.23278848583533404,7.259067717033724,2.4044416098171943,5
-0.21038784741077485,7.785527250218142,0.6227046368489058,6
-0.17814551553722272,8.124270050917808,1.4812670669214352,6
0.0464021553518388,8.823443939162507,0.9177548304608203,4
0.1642127976516725,9.277068685032365,0.9738704511085389,4
0.3254291071703644,9.890400917356217,1.6295953261647824,4
0.47333153758776725,10.427046696904979,1.0738608233871654,4
0.7452066602251055,10.526587766312847,1.6918304319662922,4
0.6137129839267975,11.258065247523435,1.0664721986613879,4
0.8850806072786508,11.883448468097402,0.4624849189315139,6
0.9967252760786528,12.500039492014107,1.0457501494503618,6
1.247607028923721,12.98562791580897,2.0541827205439245,6
1.2589895637979043,13.562190087104614,1.004082343383652,6
1.5539577441891512,14.007306019784332,1.8831968062504107,6
1.5588775668029844,14.687622594175995,1.5234087402361212,6
1.7359612147309087,15.389632677523394,1.5204527910806154,5
2.0929338343954673,16.065676050634465,1.004679580477141,5
2.280148663096533,16.61429882820232,0.7980498162636644,5
2.4801651327251513,17.33247976593201,1.6656379222180742,5
2.7526473846129047,17.90223634477777,0.8963011626255284,5
2.9752623262799855,18.637774681510518,1.2534435907537294,5
3.258677444433258,19.240188072950158,1.521620229375654,4
3.435836695476187,20.01344106669856,1.7388361794243217,4
3.754510701585496,20.752043116035686,1.5723521210172695,4
3.9152583757595347,21.42407601408605,1.6025341215636102,4
4.247436423507363,22.103788575925368,1.5589043574546473,4
4.573648948949562,22.76987464059576,2.80975943706283,4
4.890053883741296,23.534120893813455,1.4937327550593498,5
5.156904935680901,24.246404046017215,1.950573138012789,5
5.462070526443949,25.413197831737182,2.6008552534943927,5
5.759124308498873,25.8488638824877,2.988988281954903,5
6.184028641811305,26.381735173126717,2.2957296482369927,5
6.462403355438921,27.06861045058104,4.262000431030424,5
6.938488426704495,28.152152313468495,3.1825738044418994,5
7.302042734592208,28.847094358233733,2.556878446443376,3
7.663444097277188,29.591564518039814,2.6495161562365617,3
8.129651085559333,30.41310373269754,2.723279605094884,3
8.42122236763552,31.25891310562657,2.9987713707251213,3
