x,y,z,lon,lat
-300.0,-300.0,30.0,8.475566666666666,48.967749999999995
-300.0,-100.0,30.0,8.475566666666666,48.96925
-300.0,100.0,30.0,8.475566666666666,48.970749999999995
-300.0,300.0,30.0,8.475566666666666,48.97225
0.0,-300.0,30.0,8.479299999999999,48.967749999999995
0.0,-100.0,30.0,8.479299999999999,48.96925
0.0,100.0,30.0,8.479299999999999,48.970749999999995
0.0,300.0,30.0,8.479299999999999,48.97225
300.0,-300.0,30.0,8.483033333333333,48.967749999999995
300.0,-100.0,30.0,8.483033333333333,48.96925
300.0,100.0,30.0,8.483033333333333,48.970749999999995
300.0,300.0,30.0,8.483033333333333,48.97225
