x,y,z,base_stations
-0.7832223845563517,1.1337422867236788,1.2831436398765788,7
-0.8956040741579063,1.582397460746891,1.009601972608241,7
-0.8593459658210794,1.6989396505374086,0.8612117469555013,7
-0.8972776376221984,2.048946693501535,1.6324608671200975,7
-0.8677045754730595,2.365537753487802,1.0073276206367503,7
-0.9410432008546818,2.6869738805543473,1.4740562199418328,7
-0.9002458260420656,2.8884146658753744,1.531198445301326,7
-1.125500745654975,3.420218013737522,1.5878582351581303,5
-0.7454872084242896,3.8396736368163142,1.5227027666030544,5
-0.7512936834193149,4.054042373188555,1.4738018495949654,5
-0.8062373871843859,4.6312433572676985,0.9266131707430225,5
-0.7368782072474633,4.9248138777827,1.0877203275893823,5
-0.7088489213848689,5.332637400965292,1.9501368622207909,5
-0.5081565037788327,5.541230442074917,1.1300022050723153,5
-0.5363385970442389,6.313393180694928,1.67219149240284,5
-0.5733151308447219,6.57848471310855,1.935487787203634,5
-0.49784036488678235,6.838513789670356,0.7697639782354279,5
-0.39984146578293306,7.1083436500791946,2.195528939085699,5
-0.0845381871450067,7.852511205236362,1.6370040862807684,6
-0.09097877516961889,8.226373630379523,0.9495832536498835,6
0.151975529745114,8.854576482597684,2.762056280759864,4
0.20877878620154872,9.335416591831558,1.662931627107997,4
0.2632247168457706,9.690191824322476,0.9948820254192675,4
0.39426084567980707,10.216055895655385,1.1920591612144362,4
0.42276242224651106,10.950170205196006,2.1564484398147448,4
0.5077791704810799,11.266687572427545,1.6379837960949128,4
0.8994244162985023,11.837479367285951,1.4375751204894902,6
1.017953982004856,12.41287598063617,0.9634231336032784,6
1.088821475184761,13.067911000734314,0.9673252303005486,6
1.2787063785210262,13.750274575838404,1.0908255242051603,6
1.478224106687986,14.181581236064972,0.893566592679953,6
1.6021342452443774,14.75963194636746,0.7734207618161779,6
1.794210611224454,15.445025832597338,1.877593637845067,5
1.9174368250641656,16.085026761635635,1.2596947626726207,5
2.223996333321009,16.575151425452184,1.311899536030941,5
2.368198505503737,17.205980219905236,2.267782933522353,5
2.674280751401746,17.888334628506584,1.6467580242903135,5
2.8978148689524703,18.74224437225993,1.7618292586063315,5
3.2078950821719303,19.342346037768962,2.6224885118119325,4
